StartTime,Flgs,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,TotPkts,TotBytes,State
09:36:19.199047, e        ,udp,10.32.92.230,33840, ->,70.0.0.1,domain,4,280,INT
09:36:19.269427, e        ,udp,10.32.92.230,58850, ->,70.0.0.1,domain,4,280,INT
09:36:19.929764, e        ,icmp,212.110.79.74,0x0000,<-,10.32.92.230,0x0a1a,2,2116,ECR
09:36:20.274217, e *      ,tcp,10.32.92.230,57990, ->,69.42.215.170,ircd,12,844,RST
09:36:20.274629, e *      ,tcp,10.32.92.230,57991, ->,69.42.215.170,ircd,10,712,RST
09:36:22.276193, e *      ,tcp,10.32.92.230,57992, ->,69.42.215.170,ircd,10,712,RST
09:36:22.276585, e *      ,tcp,10.32.92.230,57993, ->,69.42.215.170,ircd,10,712,RST
09:36:24.278078, e *      ,tcp,10.32.92.230,57994, ->,69.42.215.170,ircd,10,712,RST
09:36:24.278487, e *      ,tcp,10.32.92.230,57995, ->,69.42.215.170,ircd,10,712,RST
09:36:26.279866, e *      ,tcp,10.32.92.230,57996, ->,69.42.215.170,ircd,10,712,RST
09:36:26.280237, e *      ,tcp,10.32.92.230,57997, ->,69.42.215.170,ircd,10,712,RST
09:36:28.281599, e *      ,tcp,10.32.92.230,57998, ->,69.42.215.170,ircd,10,712,RST
09:36:28.282119, e *      ,tcp,10.32.92.230,57999, ->,69.42.215.170,ircd,10,712,RST
09:36:29.200423, e        ,udp,10.32.92.230,47298, ->,70.0.0.1,domain,4,280,INT
09:36:29.274094, e        ,udp,10.32.92.230,43591, ->,70.0.0.1,domain,4,280,INT
09:36:29.931404, e        ,ip,127.0.0.16,, ->,108.122.0.0,,2,120,INT
09:36:29.931460, e        ,ip,127.0.0.85,, ->,108.122.0.0,,10,600,INT
09:36:29.931498, e        ,ip,127.0.0.231,, ->,108.122.0.0,,4,240,INT
09:36:29.931509, e        ,ip,127.0.0.153,, ->,108.122.0.0,,4,240,INT
09:36:29.931557, e        ,ip,127.0.0.27,, ->,108.122.0.0,,8,480,INT
09:36:29.931563, e        ,ip,127.0.0.51,, ->,108.122.0.0,,8,480,INT
09:36:29.931614, e        ,ip,127.0.0.101,, ->,108.122.0.0,,6,360,INT
09:36:29.931620, e        ,ip,127.0.0.140,, ->,108.122.0.0,,2,120,INT
09:36:29.931679, e        ,ip,127.0.0.159,, ->,108.122.0.0,,4,240,INT
09:36:29.931692, e        ,ip,127.0.0.173,, ->,108.122.0.0,,4,240,INT
09:36:29.931739, e        ,ip,127.0.0.147,, ->,108.122.0.0,,2,120,INT
09:36:29.931768, e        ,ip,127.0.0.215,, ->,108.122.0.0,,2,120,INT
09:36:29.931796, e        ,ip,127.0.0.225,, ->,108.122.0.0,,4,240,INT
09:36:29.931825, e        ,ip,127.0.0.48,, ->,108.122.0.0,,2,120,INT
09:36:29.931858, e        ,ip,127.0.0.110,, ->,108.122.0.0,,6,360,INT
09:36:29.931888, e        ,ip,127.0.0.176,, ->,108.122.0.0,,2,120,INT
09:36:29.931898, e        ,ip,127.0.0.182,, ->,108.122.0.0,,4,240,INT
09:36:29.931946, e        ,ip,127.0.0.164,, ->,108.122.0.0,,2,120,INT
09:36:29.931951, e        ,ip,127.0.0.56,, ->,108.122.0.0,,6,360,INT
09:36:29.932008, e        ,ip,127.0.0.212,, ->,108.122.0.0,,2,120,INT
09:36:29.932043, e        ,ip,127.0.0.207,, ->,108.122.0.0,,2,120,INT
09:36:29.932073, e        ,ip,127.0.0.234,, ->,108.122.0.0,,2,120,INT
09:36:29.932085, e        ,ip,127.0.0.93,, ->,108.122.0.0,,2,120,INT
09:36:29.932129, e        ,ip,127.0.0.131,, ->,108.122.0.0,,2,120,INT
09:36:29.932160, e        ,ip,127.0.0.53,, ->,108.122.0.0,,2,120,INT
09:36:29.932171, e        ,ip,127.0.0.227,, ->,108.122.0.0,,6,360,INT
09:36:29.932218, e        ,ip,127.0.0.248,, ->,108.122.0.0,,6,360,INT
09:36:29.932230, e        ,ip,127.0.0.133,, ->,108.122.0.0,,6,360,INT
09:36:29.932275, e        ,ip,127.0.0.203,, ->,108.122.0.0,,4,240,INT
09:36:29.932286, e        ,ip,127.0.0.242,, ->,108.122.0.0,,4,240,INT
09:36:29.932333, e        ,ip,127.0.0.184,, ->,108.122.0.0,,8,480,INT
